,t,T,u
69,69.0,25.10102171580705,5.0
70,70.0,25.12885968455451,5.0
71,71.0,25.08720514877342,5.0
72,72.0,25.363612945291976,5.0
73,73.0,25.22510906198964,5.0
74,74.0,25.174171375395648,5.0
75,75.0,25.091841065111975,5.0
76,76.0,25.402276113015702,5.0
77,77.0,24.651384066701468,5.0
78,78.0,25.475018610718752,5.0
79,79.0,24.635137258632682,5.0
80,80.0,24.860171261131725,5.0
81,81.0,25.250805183343502,5.0
82,82.0,25.357636587165857,5.0
83,83.0,24.880416741433514,5.0
84,84.0,25.025015146267133,5.0
85,85.0,25.571431249147718,5.0
86,86.0,25.1263861408337,5.0
87,87.0,24.836161906298294,5.0
88,88.0,25.008016102070755,5.0
89,89.0,25.35647691579669,5.0
90,90.0,25.316632783973283,5.0
91,91.0,25.62114318309694,5.0
92,92.0,25.17224949912877,5.0
93,93.0,24.988384665690788,5.0
94,94.0,25.329115407803563,5.0
95,95.0,25.568766475815373,5.0
96,96.0,25.371379560281994,5.0
97,97.0,25.367940823313653,5.0
98,98.0,24.99158098535699,5.0
99,99.0,25.445539048248335,5.0
100,100.0,25.830419085766028,5.0
101,101.0,25.17979379109979,5.0
102,102.0,25.55280401211472,5.0
103,103.0,25.875283756918034,5.0
104,104.0,25.31632507929384,5.0
105,105.0,25.312004825950154,5.0
106,106.0,25.479135003393942,5.0
107,107.0,25.800420254519985,5.0
108,108.0,25.54297786581507,5.0
109,109.0,25.201729498294622,5.0
110,110.0,25.591555954646154,5.0
111,111.0,25.776672608272897,5.0
112,112.0,25.766395606602174,5.0
113,113.0,25.612769729273822,5.0
114,114.0,25.27140934619851,5.0
115,115.0,26.118701497744908,5.0
116,116.0,25.54714371129753,5.0
117,117.0,25.204970108100955,5.0
118,118.0,26.159324365508052,5.0
119,119.0,25.76850144790138,5.0
120,120.0,25.436630994935847,5.0
121,121.0,25.661258700251306,5.0
122,122.0,26.216604939775507,5.0
123,123.0,26.047471616058814,5.0
124,124.0,26.12188967124912,5.0
125,125.0,26.042692190027864,5.0
126,126.0,26.11843954897538,5.0
127,127.0,25.43096373600275,5.0
128,128.0,25.95598794226865,5.0
129,129.0,26.007677455686082,5.0
130,130.0,26.115441955741254,5.0
131,131.0,25.383847428560607,5.0
132,132.0,25.817101949614628,5.0
133,133.0,25.81790285770331,5.0
134,134.0,25.945088355820957,5.0
135,135.0,26.214341280543675,5.0
136,136.0,25.985703398236538,5.0
137,137.0,26.316818891521354,5.0
138,138.0,25.90413472383783,5.0
139,139.0,25.588326963771816,5.0
140,140.0,26.391445789241438,5.0
141,141.0,26.04342859636524,5.0
142,142.0,25.5525564364376,5.0
143,143.0,25.93058250883463,5.0
144,144.0,25.814805369839373,5.0
145,145.0,26.06456303674692,5.0
146,146.0,26.24417646997793,5.0
147,147.0,25.798670619047282,5.0
148,148.0,25.703992631499208,5.0
149,149.0,25.935859534245555,5.0
150,150.0,26.462622680447996,5.0
151,151.0,26.087304294927,5.0
152,152.0,26.120308365674653,5.0
153,153.0,26.342580579453536,5.0
154,154.0,26.38919371983633,5.0
155,155.0,25.700142436573792,5.0
156,156.0,26.457802362516674,5.0
157,157.0,25.911528002630597,5.0
158,158.0,25.675674075408143,5.0
159,159.0,26.296221897675686,5.0
160,160.0,26.248215968550113,5.0
