,Time,Q1
0,0.0,15.146548584041605
1,0.775255,11.295967658858231
2,3.224745,10.797863628226471
3,5.0,11.194991701405497
4,5.775255,11.00882199930965
5,8.224745,11.128112075994661
6,10.0,11.3857897684434
7,10.775255,11.318854694217551
8,13.224745,11.540839815661876
9,15.0,11.849068333880096
10,15.775255,11.821304156441787
11,18.224745,12.16692695407466
12,20.0,12.551258596247022
13,20.775255,12.58261434844727
14,23.224745,13.246896538152992
15,25.0,13.92883323749037
16,25.775255,14.941997349922929
17,28.224745,18.635406267802015
18,30.0,19.71143162610279
19,30.775255,24.402291120364126
20,33.224745,52.075799608534396
21,35.0,60.40821339403172
22,35.775255,61.287396961188506
23,38.224745,61.5804439693402
24,40.0,60.9165812880408
25,40.775255,67.00150916625611
26,43.224745,95.03583518058626
27,45.0,100.0
28,45.775255,100.0
29,48.224745,100.0
30,50.0,100.0
31,50.775255,100.0
32,53.224745,100.0
33,55.0,100.0
34,55.775255,100.0
35,58.224745,100.0
36,60.0,100.0
37,60.775255,100.0
38,63.224745,100.0
39,65.0,100.0
40,65.775255,100.0
41,68.224745,100.0
42,70.0,100.0
43,70.775255,100.0
44,73.224745,100.0
45,75.0,100.0
46,75.775255,100.0
47,78.224745,100.0
48,80.0,100.0
49,80.775255,100.0
50,83.224745,100.0
51,85.0,100.0
52,85.775255,100.0
53,88.224745,100.0
54,90.0,100.0
55,90.775255,100.0
56,93.224745,100.0
57,95.0,100.0
58,95.775255,100.0
59,98.224745,100.0
60,100.0,100.0
61,100.775255,100.0
62,103.224745,100.0
63,105.0,100.0
64,105.775255,100.0
65,108.224745,100.0
66,110.0,100.0
67,110.775255,100.0
68,113.224745,100.0
69,115.0,96.97803140717473
70,115.775255,100.0
71,118.224745,100.0
72,120.0,94.25102201864891
73,120.775255,94.10597973785534
74,123.224745,93.07215999890644
75,125.0,91.84808360136694
76,125.775255,92.10840831996407
77,128.224745,91.0868786777862
78,130.0,89.7655840158135
79,130.775255,89.94964398926605
80,133.224745,88.64819674696571
81,135.0,87.10255788927677
82,135.775255,87.19091251827184
83,138.224745,85.28241445420333
84,140.0,83.28407623793618
85,140.775255,83.09890531871288
86,143.224745,80.91236886491342
87,145.0,79.42129917263524
88,145.775255,79.38306707787392
89,148.224745,78.73517048340584
90,150.0,78.32571815581134
91,150.775255,78.3867799028045
92,153.224745,78.00832139737534
93,155.0,77.42369942226226
94,155.775255,78.30921769818815
95,158.224745,66.19003193271224
96,160.0,50.975017883026915
97,160.775255,45.739181230608
98,163.224745,42.50970740875843
99,165.0,43.928644942166656
100,165.775255,44.36467245840046
101,168.224745,46.50774663035134
102,170.0,47.70080775533614
103,170.775255,48.050420857512954
104,173.224745,49.494683812425706
105,175.0,50.279046398378334
106,175.775255,50.49400241200356
107,178.224745,51.45853881439216
108,180.0,51.99734631309487
109,180.775255,52.13110353146451
110,183.224745,52.77887668060455
111,185.0,53.14900490958209
112,185.775255,53.232145437389384
113,188.224745,53.66324071231825
114,190.0,53.91458711247712
115,190.775255,53.966099849546175
116,193.224745,54.24956746888557
117,195.0,54.41771209766909
118,195.775255,54.449261993510966
119,198.224745,54.632036736391576
120,200.0,54.742054430171834
121,200.775255,54.76058827961971
122,203.224745,54.874216910403426
123,205.0,54.94378670063775
124,205.775255,54.95363060140998
125,208.224745,55.020183515006
126,210.0,55.06215792427461
127,210.775255,55.06633959366458
128,213.224745,55.10207443698708
129,215.0,55.12600069751063
130,215.775255,55.126803165234264
131,218.224745,55.14372207503114
132,220.0,55.15653340384402
133,220.775255,55.15561623478416
134,223.224745,55.16205931677297
135,225.0,55.1684695035505
136,225.775255,55.16690151358886
137,228.224745,55.16810428704834
138,230.0,55.171042455482784
139,230.775255,55.169398644278644
140,233.224745,55.1682570969387
141,235.0,55.169369529133654
142,235.775255,55.167880076071555
143,238.224745,55.165750097775934
144,240.0,55.16586014909242
145,240.775255,55.16455181961131
146,243.224745,55.16188467410935
147,245.0,55.16133086717588
148,245.775255,55.160125418888995
149,248.224745,55.15687138754154
150,250.0,55.15571295115013
151,250.775255,55.154478966465874
152,253.224745,55.15029035068132
153,255.0,55.148408580741496
154,255.775255,55.146977984298196
155,258.224745,55.14127199467668
156,260.0,55.13840166430327
157,260.775255,55.13656319583594
158,263.224745,55.12849478674649
159,265.0,55.124210732765825
160,265.775255,55.121688577066934
161,268.224745,55.11006400285608
162,270.0,55.10373773350883
163,270.775255,55.100159789404294
164,273.224745,55.08330891845258
165,275.0,55.074044405902264
166,275.775255,55.068903393382136
167,278.224745,55.04452734800641
168,280.0,55.03108544048841
169,280.775255,55.02369766185811
170,283.224745,54.988718083146345
171,285.0,54.96944457227993
172,285.775255,54.95891526160643
173,288.224745,54.90936878312728
174,290.0,54.88214959725469
175,290.775255,54.86735885700696
176,293.224745,54.798396256297636
177,295.0,54.76066924468155
178,295.775255,54.74029537332113
179,298.224745,54.64634461618669
180,300.0,54.59519324557707
181,300.775255,54.56778654147886
182,303.224745,54.442907447185775
183,305.0,54.37524101789987
184,305.775255,54.339348190161324
185,308.224745,54.1777407460539
186,310.0,54.09052989887969
187,310.775255,54.04484972959284
188,313.224745,53.84140000583888
189,315.0,53.731899650896324
190,315.775255,53.675434623419775
191,318.224745,53.4261370580104
192,320.0,53.29201459041758
193,320.775255,53.22418413073364
194,323.224745,52.92630782766729
195,325.0,52.76561768338388
196,325.775255,52.68632221019411
197,328.224745,52.33828267403797
198,330.0,52.14927251393445
199,330.775255,52.05893499752313
200,333.224745,51.65985352492307
201,335.0,51.440538366165974
202,335.775255,51.34023138583906
203,338.224745,50.88771375685082
204,340.0,50.633562138992914
205,340.775255,50.52698155171083
206,343.224745,49.98179336003168
207,345.0,49.6463813171518
208,345.775255,49.61078007482031
209,348.224745,48.076386179966924
210,350.0,46.57462065644547
211,350.775255,44.283231975433104
212,353.224745,24.186283641161452
213,355.0,11.743993921895411
214,355.775255,11.021778862788517
215,358.224745,10.515381483052023
216,360.0,10.210909841164801
217,360.775255,10.049721753539128
218,363.224745,9.528559704305719
219,365.0,9.15879102315923
220,365.775255,8.997115653990056
221,368.224745,8.475436333771821
222,370.0,8.114264798326436
223,370.775255,7.958350763465445
224,373.224745,7.468605955261706
225,375.0,7.131851893060619
226,375.775255,6.9867912173984985
227,378.224745,6.5370846826004705
228,380.0,6.228172136328958
229,380.775255,6.094877601236767
230,383.224745,5.684681985991699
231,385.0,5.402744419918936
232,385.775255,5.280613788741394
233,388.224745,4.906672727972889
