,Time,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000
0,0.0,50.000000494999995,50.000000495,50.000000495,50.000000494999995,50.000000495,50.000000494999995,50.000000495,50.000000494999995,50.000000494999995,50.000000495,50.000000495,50.000000494999995,50.000000494999995,50.000000495,,,,,
1,0.154896,1.4557156098105918e-06,3.1552669888539725e-06,1.4490480473593985e-06,1.0133763025184072e-06,1.0804791156524305e-06,4.2873238305235867e-07,1.0295055544560206e-06,1.015065043379703e-06,1.0242457339928061e-06,9.689624673584161e-07,1.0505835383384985e-06,1.1938761092119816e-06,1.1225285061515822e-06,1.1611200656123335e-06,,,,,
2,0.644304,1.0656622010437819e-06,2.3136300127440212e-06,1.06072676252939e-06,7.407835877410056e-07,7.90020640151109e-07,3.1189855726209273e-07,7.52617048049767e-07,7.419897876649703e-07,7.487485593414142e-07,7.081559388744933e-07,7.680956950359834e-07,8.733284539581142e-07,8.209329572685757e-07,8.492758238251007e-07,,,,,
3,0.999,4.949027194613884e-06,1.0704762339729734e-05,4.926130724233573e-06,3.4504288487304224e-06,3.6773937682878044e-06,1.4737562771465446e-06,3.5049729009565372e-06,3.4558813236171668e-06,3.4871103605785455e-06,3.2999000136922943e-06,3.5763652868817073e-06,4.061750812886697e-06,3.820081917186769e-06,3.950818518775579e-06,,,,,
4,1.153896,1.453822126285242e-06,3.1531199115960226e-06,1.4470448235718787e-06,1.011357414898428e-06,1.0783501155453195e-06,4.2794820297235243e-07,1.027457032051907e-06,1.0129539986830254e-06,1.022180668937358e-06,9.669107103420716e-07,1.048534687316242e-06,1.1918418507191455e-06,1.120491153939085e-06,1.1590910202226656e-06,,,,,
5,1.643304,1.0646562092804003e-06,2.3128861320215036e-06,1.059637695324242e-06,7.395763161941957e-07,7.887502691630551e-07,3.1144004211736603e-07,7.51392995044861e-07,7.407169961504038e-07,7.47510997201095e-07,7.069143739415043e-07,7.668764388937378e-07,8.721550904943034e-07,8.197397311267975e-07,8.480981664557272e-07,,,,,
6,1.998,4.945627604595505e-06,1.0704021101302593e-05,4.922339956106866e-06,3.4457477371230317e-06,3.672478900061639e-06,1.4720197284333514e-06,3.5002303714224633e-06,3.450904761489662e-06,3.4823011197060253e-06,3.2950277800545737e-06,3.571661182684983e-06,4.05737215844807e-06,3.815554764388242e-06,3.946393800209728e-06,,,,,
7,2.152896,1.4531990282165323e-06,3.1537269752439774e-06,1.4463037774308669e-06,1.010247102196482e-06,1.0771883167092783e-06,4.275514109893156e-07,1.0263334570620934e-06,1.0117583892910123e-06,1.0210360229408072e-06,9.657337318783564e-07,1.0474274880442883e-06,1.1908658418270332e-06,1.1194537623711027e-06,1.1580933204620422e-06,,,,,
8,2.642304,1.0645819582618832e-06,2.314165067216767e-06,1.0594743209296707e-06,7.390345213375848e-07,7.881883452247097e-07,3.1126535745515866e-07,7.508463627349762e-07,7.401145278364857e-07,7.469475155542004e-07,7.063133266442153e-07,7.663468993268818e-07,8.717572495250372e-07,8.192791427678475e-07,8.476762448355169e-07,,,,,
9,2.997,4.946523662211919e-06,1.0712615042869146e-05,4.922816850603857e-06,3.4441318046682852e-06,3.6708272284354416e-06,1.4715907949127245e-06,3.4986078848301953e-06,3.44901513230363e-06,3.4805964601291675e-06,3.293105107300943e-06,3.570133951364669e-06,4.0565668998923676e-06,3.8144028651009167e-06,3.945451079124321e-06,,,,,
10,3.151896,1.4538444232430703e-06,3.1570931863021624e-06,1.4468229502214717e-06,1.010041182255657e-06,1.0769893613879602e-06,4.275405111181104e-07,1.0261304172784565e-06,1.0114734361941674e-06,1.0208073316385253e-06,9.654268565681066e-07,1.047257642790008e-06,1.1909445213425047e-06,1.119412436747731e-06,1.1581232736505514e-06,,,,,
11,3.641304,1.065440055540773e-06,2.3174748609164546e-06,1.0602371807908632e-06,7.391565895023721e-07,7.883332183532166e-07,3.1137402336806684e-07,7.509753982432898e-07,7.401803499186369e-07,7.470563159367974e-07,7.063507752197826e-07,7.665054313728706e-07,8.721339993503647e-07,8.195499289810376e-07,8.480089905372655e-07,,,,,
12,3.996,4.951724626241603e-06,1.0730595414464161e-05,4.927570305859538e-06,3.4455783086780255e-06,3.672436142375848e-06,1.4724692592576575e-06,3.5001021513142094e-06,3.4502078192261045e-06,3.4819928580031594e-06,3.294127219517451e-06,3.5717808785394348e-06,4.059336173910295e-06,3.816625545206489e-06,3.947990730963461e-06,,,,,
13,4.150896,1.455763031254786e-06,3.163238038198757e-06,1.4486069384775294e-06,1.0107402881073955e-06,1.077754013340682e-06,4.2791605225410645e-07,1.0268484129992593e-06,1.0120992362819834e-06,1.0214950188741437e-06,9.65990069810726e-07,1.0480258458829459e-06,1.1920798944968476e-06,1.1203685604461706e-06,1.1591826198620553e-06,,,,,
14,4.640304,1.067235977014555e-06,2.322834257330762e-06,1.0619316430734065e-06,7.399444419854334e-07,7.891869987623564e-07,3.1176706212643425e-07,7.517819542695728e-07,7.409160067227831e-07,7.478391874149049e-07,7.070281168922004e-07,7.673540547847138e-07,8.732884993684103e-07,8.205547037636e-07,8.490993271547918e-07,,,,,
15,4.995,4.961262279065375e-06,1.0758063093134534e-05,4.936631552052366e-06,3.4501008283169206e-06,3.6773203937589882e-06,1.4746618431887395e-06,3.5047265262500504e-06,3.4544947142979695e-06,3.4865033507195236e-06,3.2981051187205323e-06,3.5766161704695715e-06,4.0657000216687264e-06,3.822240040421435e-06,3.954031575160341e-06,,,,,
16,5.149896,1.458966251971054e-06,3.1721957758081058e-06,1.451666962171264e-06,1.0123498841357787e-06,1.0794881761484267e-06,4.28680638154106e-07,1.0284928707994042e-06,1.0136407709240615e-06,1.0231044097206976e-06,9.674280249246744e-07,1.0497378001127187e-06,1.194279566492362e-06,1.1223288203994774e-06,1.1612785619769365e-06,,,,,
17,5.639304,1.0699801429478581e-06,2.330272955483424e-06,1.064567978866249e-06,7.41403566378938e-07,7.907555909891705e-07,3.124470137479332e-07,7.53271519085015e-07,7.423266457810693e-07,7.493015359286338e-07,7.083501920064185e-07,7.688984862486758e-07,8.75228047084025e-07,8.222999982976062e-07,8.509542142307225e-07,,,,,
18,5.994,4.975191363432227e-06,1.0795169944026746e-05,4.950054588146157e-06,3.4577294723300143e-06,3.6855123219855193e-06,1.4781823060830584e-06,3.5125112131742323e-06,3.461904402882982e-06,3.4941577364933975e-06,3.3050657575223628e-06,3.5846711682020904e-06,4.075697678442752e-06,3.83128174984127e-06,3.963611148860096e-06,,,,,
19,6.148896,1.4634723206280195e-06,3.1840158574878462e-06,1.4560210201361105e-06,1.0148803469771229e-06,1.0822029803346506e-06,4.2983896484915317e-07,1.0310742234205001e-06,1.0161079802736616e-06,1.0256458092833986e-06,9.69750113095897e-07,1.0524043002391392e-06,1.1975568505776205e-06,1.1253053033727075e-06,1.1644238685287457e-06,,,,,
20,6.638304,1.0736880596789881e-06,2.3398320105006455e-06,1.068161503432222e-06,7.43543095930591e-07,7.930487790856791e-07,3.1341797194107045e-07,7.554532955620845e-07,7.44421092611136e-07,7.514524624165133e-07,7.103253547142159e-07,7.711482213902779e-07,8.779641805159398e-07,8.24796353507323e-07,8.535847452742354e-07,,,,,
21,6.993,4.993590326104201e-06,1.0842120876157949e-05,4.967916922587789e-06,3.4685113104473385e-06,3.6970623164287806e-06,1.4830516385290813e-06,3.5235036949865565e-06,3.4724825747390632e-06,3.5050030010342266e-06,3.315052428384255e-06,3.5959947935600087e-06,4.089388121558937e-06,3.843804734515278e-06,3.976786232792897e-06,,,,,
22,7.147896,1.4693065556849005e-06,3.198763626238241e-06,1.4616941366484916e-06,1.0183471132823097e-06,1.0859149415874836e-06,4.313978864578808e-07,1.0346080578786198e-06,1.0195159052586338e-06,1.0291346493577783e-06,9.729705980105768e-07,1.056041385800121e-06,1.2019309534308376e-06,1.1293156655317174e-06,1.1686370519976961e-06,,,,,
23,7.637304,1.0783805305719372e-06,2.351564393120934e-06,1.0727327860718865e-06,7.463759390044851e-07,7.960803650945907e-07,3.1468564134902176e-07,7.583403312986886e-07,7.472119761576443e-07,7.543048917587904e-07,7.129655920680962e-07,7.741166686998319e-07,8.815128386271865e-07,8.280584675840968e-07,8.570063023871938e-07,,,,,
24,7.992,5.016562387100143e-06,1.0899176644912429e-05,4.9903206366767685e-06,3.4825110396921445e-06,3.7120395287346635e-06,1.489298355812673e-06,3.5377694046469127e-06,3.4862926724490906e-06,3.5191039824073235e-06,3.3281253796471618e-06,3.6106542385450113e-06,4.10685089069089e-06,3.8598824738981755e-06,3.993633642801182e-06,,,,,
25,8.146896,1.4765017048001709e-06,3.216521207044087e-06,1.4687187054121616e-06,1.0227708981846247e-06,1.0906461941931416e-06,4.333665110962757e-07,1.0391153356387465e-06,1.0238849009650434e-06,1.0335917067591591e-06,9.771088186917933e-07,1.0606705671801871e-06,1.2074272426063663e-06,1.1343833796757451e-06,1.173942627132727e-06,,,,,
26,8.636304,1.084083941561847e-06,2.365535721743692e-06,1.0783079339363867e-06,7.499189620140114e-07,7.998683644111726e-07,3.162574175724117e-07,7.619497032236262e-07,7.5071590817287e-07,7.578757558992789e-07,7.162866946388105e-07,7.778213388566619e-07,8.858945839059604e-07,8.321054022909491e-07,8.6123877148314e-07,,,,,
27,8.991,5.044236961751975e-06,1.0966657473351532e-05,5.017393797742696e-06,3.4998119029815457e-06,3.7305328535436674e-06,1.4969588989354679e-06,3.555392652863241e-06,3.503416794182263e-06,3.5365442914462896e-06,3.3443626744844855e-06,3.6287359161049973e-06,4.1281872016723995e-06,3.8796088997788064e-06,4.014251307476797e-06,,,,,
28,9.145896,1.4850983979240378e-06,3.237388653618154e-06,1.4771349397612849e-06,1.0281779901917203e-06,1.0964248057851348e-06,4.3575632937673104e-07,1.0446226906176292e-06,1.0292409270140277e-06,1.0390433990408076e-06,9.82189465870616e-07,1.066319130844987e-06,1.2140776029708857e-06,1.1405380665620245e-06,1.1803714560027297e-06,,,,,
29,9.635304,1.0908306286478524e-06,2.3818251861244722e-06,1.0849189571138495e-06,7.5419323064084e-07,8.044352631678363e-07,3.1814249206340174e-07,7.663027615401838e-07,7.54953721268531e-07,7.621862359663977e-07,7.203084831626702e-07,7.822840944247605e-07,8.911348928971493e-07,8.369608534424914e-07,8.663068237156782e-07,,,,,
30,9.99,5.076771472404486e-06,1.1044947587494114e-05,5.049292258801521e-06,3.520516884302097e-06,3.7526522035364463e-06,1.50607815370229e-06,3.5764778372871725e-06,3.523956874705431e-06,3.5574275120537204e-06,3.363861315558953e-06,3.6503466973533427e-06,4.153521382999101e-06,3.90309973485775e-06,4.038759660169534e-06,,,,,
31,10.144896,1.495145719315875e-06,3.261485374898895e-06,1.4869914408367478e-06,1.0346006303373806e-06,1.1032851817654582e-06,4.385813788913027e-07,1.0511628129314135e-06,1.035615922664614e-06,1.0455221654607027e-06,9.88242939258194e-07,1.07302053183817e-06,1.2219208915173954e-06,1.1478159190777262e-06,1.1879611888766051e-06,,,,,
32,10.634304,1.0986593370012618e-06,2.4005266874291417e-06,1.092604224609872e-06,7.592243158013199e-07,8.098083445301328e-07,3.203519846858681e-07,7.714254395407333e-07,7.599507720283219e-07,7.672620698806421e-07,7.250550973071271e-07,7.875314665972445e-07,8.972645224031116e-07,8.426534927680481e-07,8.722402706017227e-07,,,,,
33,10.989,5.11435359775726e-06,1.1134500787871989e-05,5.086201892445335e-06,3.544750212675025e-06,3.7785301131438514e-06,1.5167101017971532e-06,3.60115096580331e-06,3.5480361765375547e-06,3.581878713750323e-06,3.386738665780388e-06,3.675615468534323e-06,4.183002673433878e-06,3.930494171875293e-06,4.067303382634949e-06,,,,,
34,11.143896,1.5067019137590194e-06,3.28895188010437e-06,1.498345898928234e-06,1.042077485883842e-06,1.111268570366108e-06,4.418584491215904e-07,1.0587749288015725e-06,1.0430482768414427e-06,1.0530669435387928e-06,9.95305795440712e-07,1.0808148841769635e-06,1.231003502808467e-06,1.1562602307171637e-06,1.1967568128213358e-06,,,,,
35,11.633304,1.107615784085759e-06,2.4217502260469645e-06,1.1014090235516943e-06,7.650426727504789e-07,8.160200928455076e-07,3.2289910755980794e-07,7.77348637786379e-07,7.657373175065558e-07,7.731339338846881e-07,7.305553544917563e-07,7.935950476622054e-07,9.043199613244173e-07,8.492173904904721e-07,8.790745025185439e-07,,,,,
36,11.988,5.157204021096759e-06,1.1235847212231485e-05,5.12834131987557e-06,3.5726592164721544e-06,3.8083237152084067e-06,1.5289186217604674e-06,3.6295615359983883e-06,3.5758011325180305e-06,3.61004631827531e-06,3.4131342045127357e-06,3.7046950506974634e-06,4.2168074300540535e-06,3.961956939491882e-06,4.100053548224657e-06,,,,,
37,12.142896,1.519835246377066e-06,3.319951891330268e-06,1.5112659472777157e-06,1.0506542317760194e-06,1.1204236824164978e-06,4.456073324612696e-07,1.0675053899898953e-06,1.0515834062049265e-06,1.061723754486328e-06,1.0034212989048908e-06,1.089749562792946e-06,1.241380060703542e-06,1.165922043030985e-06,1.2068113232203445e-06,,,,,
38,12.632304,1.117753342465334e-06,2.445623576676212e-06,1.1113862372024638e-06,7.716841040190249e-07,8.231086870390427e-07,3.257993647936101e-07,7.841086934871972e-07,7.723489757483508e-07,7.79837908759947e-07,7.368431889067755e-07,8.00511970246418e-07,9.123439808083052e-07,8.566925304951277e-07,8.868510228792934e-07,,,,,
39,12.987,5.205579754656326e-06,1.1349601483924947e-05,5.1759652118727685e-06,3.604416580874439e-06,3.842217146834509e-06,1.5427784625802238e-06,3.661884824302162e-06,3.607423592307011e-06,3.6421043733763726e-06,3.4432116693161582e-06,3.737764536654064e-06,4.255141809221276e-06,3.9976808135085345e-06,4.137210225317301e-06,,,,,
40,13.141896,1.534625040466002e-06,3.3546748851387204e-06,1.5258301926172652e-06,1.0603842565634706e-06,1.1308074436229136e-06,4.498511285403024e-07,1.0774083897031565e-06,1.0612744579005132e-06,1.0715464143363132e-06,1.012640092061224e-06,1.0998799342985818e-06,1.2531142561399838e-06,1.1768609305909497e-06,1.2181865374205299e-06,,,,,
41,13.631304,1.1291338619747137e-06,2.4722943001737566e-06,1.1225971613453682e-06,7.791903196804394e-07,8.311185976325285e-07,3.2907079390605493e-07,7.917479487636584e-07,7.798272837709756e-07,7.874160443206864e-07,7.439581835477587e-07,8.083254872897248e-07,9.213862986550501e-07,8.651254330553112e-07,8.956180934859634e-07,,,,,
42,13.986,5.259778136924309e-06,1.1476472489496287e-05,5.229368257954574e-06,3.6402230749695486e-06,3.880424455252496e-06,1.558376418473601e-06,3.6983246522072074e-06,3.6431035390506154e-06,3.6782553007569566e-06,3.4771616463992646e-06,3.775032113958544e-06,4.29824499901845e-06,4.037889647140841e-06,4.179005617318774e-06,,,,,
43,14.140896,1.551162923914526e-06,3.3933391400144473e-06,1.542129452833977e-06,1.0713295138145518e-06,1.142485901751388e-06,4.5461661088273027e-07,1.0885468262808038e-06,1.0721831579334778e-06,1.0825973919500717e-06,1.0230210042452416e-06,1.1112702383130107e-06,1.2662798557877723e-06,1.1891459467689913e-06,1.2309540746296538e-06,,,,,
44,14.630304,1.1418286558673138e-06,2.501932154074366e-06,1.1351124835075703e-06,7.876096118983007e-07,8.40101305438216e-07,3.327342562174477e-07,8.003154349743933e-07,7.882203698987828e-07,7.959170392593961e-07,7.519462113808531e-07,8.170856702718564e-07,9.315043779807952e-07,8.745699038915792e-07,9.054315104982129e-07,,,,,
45,14.985,5.320141623987298e-06,1.1617275090070141e-05,5.2888899240932835e-06,3.680310831939819e-06,3.923193092566623e-06,1.5758127406901814e-06,3.739116714180312e-06,3.6830723593929794e-06,3.718733202246654e-06,3.5152046891341618e-06,3.816738460178189e-06,4.34639310157786e-06,4.082842012776349e-06,4.225707834905913e-06,,,,,
46,15.139896,1.5695543224431116e-06,3.4361953858816223e-06,1.5602682397669733e-06,1.0835615453945958e-06,1.1555353167974618e-06,4.5993466721885564e-07,1.1009933414064176e-06,1.0843808314612488e-06,1.0949488404682299e-06,1.0346320247793522e-06,1.1239946466072386e-06,1.2809619126694756e-06,1.2028567595333588e-06,1.2451965322890365e-06,,,,,
47,15.629304,1.1559196817258943e-06,2.534731979288682e-06,1.1490134556273113e-06,7.96997665010563e-07,8.501161645624559e-07,3.368137853323583e-07,8.098676946650161e-07,7.975837616482199e-07,8.053970577596892e-07,7.60860205860273e-07,8.268502476634697e-07,9.427643851872617e-07,8.850879330975591e-07,9.163555353716085e-07,,,,,
