,Th1,Ts1,u1,R
34,0.8173028122193928,0.8173028122193928,27.64,-0.14683521174674724
35,0.9526594538209183,0.9526594538209183,30.057,-0.1813534677792653
36,1.1041159323622662,1.1041159323622662,32.25,-0.1565207843441471
37,1.2710130026483246,1.2710130026483246,35.005,-0.16871105203570602
38,1.4576817238498618,1.4576817238498618,38.333,-0.09100080126070315
39,1.650402681060056,1.650402681060056,41.596,-0.27664875224327234
40,1.8451134313471913,1.8451134313471913,44.056,-0.11438999904132346
41,2.2702628465581576,2.2702628465581576,48.949,-0.2611900440510402
42,2.7360769709663617,2.7360769709663617,54.948,-0.27382528554514074
43,2.9907792661060038,2.9907792661060038,57.112,-0.21031446439172397
44,3.265699182499014,3.265699182499014,59.035,-0.315448787180849
45,3.543770858505854,3.543770858505854,61.22,-0.42844719776683426
46,3.823077343432325,3.823077343432325,63.532,-0.22734333453110156
47,4.116850597529568,4.116850597529568,65.843,-0.3559855303821733
48,4.42656031606137,4.42656031606137,67.451,-0.3955387167000477
49,4.7366802565354105,4.7366802565354105,68.855,-0.31409384804215357
50,5.04724235696526,5.04724235696526,70.357,-0.46630252677182327
51,5.359353001441804,5.359353001441804,71.856,-0.30389147151582363
52,5.67838034556785,5.67838034556785,73.369,-0.47236601854858673
53,6.001294846408489,6.001294846408489,74.364,-0.38826634174311314
54,6.329839739717604,6.329839739717604,75.222,-0.5051517331330073
55,6.6538223185611,6.6538223185611,76.067,-0.3689036264301073
56,6.9806901227577205,6.9806901227577205,76.854,-0.5629898690766186
57,7.3077704040458515,7.3077704040458515,77.641,-0.440275750887714
58,7.635204139756182,7.635204139756182,78.136,-0.6144649668000097
59,7.962668362747721,7.962668362747721,78.548,-0.5362567494125194
60,8.289376161407802,8.289376161407802,78.91,-0.5273458689866528
61,8.61407667965208,8.61407667965208,79.196,-0.6534226334462145
62,8.935058442491103,8.935058442491103,79.482,-0.5571727590534943
63,9.252399950803882,9.252399950803882,79.639,-0.5632070166149621
64,9.56709025080161,9.56709025080161,79.759,-0.7011522877179743
65,9.878901041930138,9.878901041930138,79.828,-0.6177041302003516
66,10.19071480061361,10.19071480061361,79.849,-0.5400002974273344
67,10.496206421902917,10.496206421902917,79.869,-0.7849121189380819
68,11.094161676724422,11.094161676724422,79.847,-0.7321629646405725
69,11.681474123614116,11.681474123614116,79.77,-0.8196929612375143
70,11.97004450527421,11.97004450527421,79.731,-0.7536254483399123
71,12.25532693140279,12.25532693140279,79.707,-1.0110114090265743
72,12.53744759088842,12.53744759088842,79.687,-0.8176170110109027
73,12.816572060335519,12.816572060335519,79.689,-0.8842162675480347
74,13.09298592793628,13.09298592793628,79.738,-0.8225471880184063
75,13.367350536966624,13.367350536966624,79.788,-0.7611934307379178
76,13.639772996158007,13.639772996158007,79.849,-0.8930905326587748
77,13.91027328452993,13.91027328452993,79.913,-0.9602302489535148
78,14.178886930351077,14.178886930351077,80.044,-0.8996016855507971
79,14.44566501113929,14.44566501113929,80.266,-0.839191299135452
80,14.713315576969936,14.713315576969936,80.491,-0.8456017716172308
81,14.973996533934187,14.973996533934187,80.687,-1.0079576377869124
82,15.235729877222427,15.235729877222427,80.877,-0.9800940300040892
83,15.495987458040853,15.495987458040853,81.171,-0.920367933509393
84,15.757480879998727,15.757480879998727,81.588,-0.8633768667782498
85,16.015177712455493,16.015177712455493,82.001,-0.9968434302128344
86,16.269271609560196,16.269271609560196,82.334,-1.062733570190396
87,16.525069870628176,16.525069870628176,82.65,-1.003263131065255
88,16.7801919805366,16.7801919805366,83.088,-0.9437697631174977
89,17.28924957616225,17.28924957616225,84.21,-1.1465514484954582
90,17.543644849646125,17.543644849646125,84.647,-1.0857384825821939
91,17.798283547503754,17.798283547503754,85.049,-1.0257265493683612
92,18.05343443674139,18.05343443674139,85.566,-1.2554650161248446
93,18.309381833614466,18.309381833614466,86.181,-1.1619006008786616
94,18.566425603627582,18.566425603627582,86.796,-1.165977372412998
95,18.824881161534506,18.824881161534506,87.254,-1.1036367502671673
96,19.085079471338183,19.085079471338183,87.668,-1.1058175047366365
97,19.61070179597573,19.61070179597573,88.694,-1.2389829337336913
98,20.138813606022417,20.138813606022417,89.601,-1.1132757645349098
99,20.403057659433212,20.403057659433212,89.927,-1.2771437333885007
100,20.66971300543009,20.66971300543009,90.268,-1.3137885529562645
101,20.93057905449548,20.93057905449548,90.555,-1.2494058152464405
102,21.193265890179468,21.193265890179468,90.844,-1.1867821036193718
103,21.454813534790492,21.454813534790492,91.007,-1.125281651906576
104,21.71488231654998,21.71488231654998,91.133,-1.385853014851218
105,21.973114796161436,21.973114796161436,91.173,-1.3244277340200128
106,22.231683493646823,22.231683493646823,91.049,-1.2655245166481777
107,22.482552254164627,22.482552254164627,90.927,-1.2652283414146233
108,22.73295351637372,22.73295351637372,90.755,-1.396232246891607
109,22.979911044069503,22.979911044069503,90.568,-1.3977955430950857
110,23.22538803575579,23.22538803575579,90.169,-1.3373508341945275
111,23.464055552149905,23.464055552149905,89.49,-1.2735467602386663
112,23.695569613625864,23.695569613625864,88.817,-1.4632214670267452
113,23.924111759227642,23.924111759227642,88.208,-1.4613169512162365
114,24.14680111070608,24.14680111070608,87.62,-1.3940340727899958
115,24.365231453278334,24.365231453278334,86.689,-1.3276562270392134
116,24.572463205871827,24.572463205871827,85.384,-1.5113618541226934
117,24.774312418053757,24.774312418053757,84.065,-1.5024442939566853
118,24.96806177310159,24.96806177310159,82.972,-1.4590919313250694
119,25.15490945782797,25.15490945782797,81.931,-1.5774222601018835
120,25.33052626643533,25.33052626643533,80.464,-1.592231007610021
121,25.499101687451724,25.499101687451724,78.529,-1.6685286567772089
122,25.662776842614694,25.662776842614694,76.613,-1.5776453755995838
123,25.82286390343326,25.82286390343326,75.072,-1.3882001568443378
124,25.975777189159544,25.975777189159544,73.646,-1.5487699712854983
